nome,host_name,bairro_group,room_type,price,minimo_noites,numero_de_reviews,reviews_por_mes,calculado_host_listings_count,disponibilidade_365
Outros,Outros,Bronx,Private room,45,30,1,0.09,2,193
Outros,Outros,Brooklyn,Private room,62,1,73,1.58,1,334
Outros,Outros,Manhattan,Entire home/apt,200,2,8,1.13,1,162
Outros,Outros,Manhattan,Entire home/apt,105,5,117,4.29,3,187
Outros,Outros,Brooklyn,Entire home/apt,86,2,0,0.72,1,0
Outros,Outros,Brooklyn,Private room,95,1,2,0.17,1,0
Outros,Outros,Queens,Private room,38,30,8,0.14,18,358
Outros,Outros,Brooklyn,Private room,85,1,14,0.62,2,0
Outros,Outros,Brooklyn,Private room,80,1,10,3.03,1,102
Outros,Outros,Manhattan,Private room,84,1,184,2.86,2,59
Outros,Outros,Manhattan,Entire home/apt,110,2,9,0.26,1,0
Outros,Outros,Brooklyn,Private room,50,3,3,0.08,1,0
Outros,Outros,Manhattan,Entire home/apt,100,3,226,2.97,1,221
Outros,Outros,Manhattan,Entire home/apt,225,1,0,0.72,1,0
Outros,Outros,Manhattan,Entire home/apt,133,28,2,0.05,1,0
Outros,Outros,Manhattan,Private room,100,2,25,1.09,1,0
Outros,Outros,Manhattan,Entire home/apt,150,5,36,0.71,1,0
Outros,Outros,Brooklyn,Private room,40,20,0,0.72,1,0
Outros,Outros,Brooklyn,Private room,90,3,4,0.07,1,0
Outros,Outros,Queens,Entire home/apt,150,1,29,3.32,1,360
Outros,Outros,Queens,Entire home/apt,120,2,0,0.72,1,0
Outros,Outros,Manhattan,Private room,110,2,41,1.21,1,89
Outros,Outros,Manhattan,Entire home/apt,225,1,0,0.72,1,0
Outros,Outros,Brooklyn,Private room,80,3,200,1.86,4,262
Outros,Outros,Manhattan,Private room,100,1,0,0.72,1,0
Outros,Outros,Brooklyn,Entire home/apt,250,2,3,0.14,2,184
Outros,Outros,Brooklyn,Entire home/apt,600,6,7,0.36,1,42
Outros,Outros,Queens,Private room,39,3,8,3.04,9,358
Outros,Outros,Brooklyn,Entire home/apt,109,4,91,3.31,1,212
Outros,Outros,Brooklyn,Private room,125,2,5,0.19,4,350
Outros,Outros,Brooklyn,Shared room,40,4,17,0.53,1,0
Outros,Outros,Brooklyn,Entire home/apt,170,2,5,2.31,1,43
Outros,Outros,Queens,Entire home/apt,99,3,40,0.91,1,128
Outros,Outros,Brooklyn,Private room,65,1,9,3.38,2,46
Outros,Outros,Manhattan,Entire home/apt,650,30,0,0.72,1,310
Outros,Outros,Manhattan,Entire home/apt,131,3,43,1.18,1,317
Outros,Outros,Manhattan,Entire home/apt,350,30,0,0.72,232,341
Outros,Outros,Brooklyn,Entire home/apt,131,2,20,0.73,2,0
Outros,Outros,Brooklyn,Entire home/apt,105,1,72,4.08,2,307
Outros,Outros,Brooklyn,Private room,39,4,4,0.13,1,0
Outros,Outros,Brooklyn,Entire home/apt,300,7,1,0.16,3,224
Outros,Outros,Brooklyn,Private room,160,2,5,0.12,2,0
Outros,Outros,Queens,Private room,80,5,30,0.66,2,249
Outros,Outros,Manhattan,Entire home/apt,185,3,0,0.72,1,0
Outros,Outros,Brooklyn,Entire home/apt,220,3,151,1.86,1,115
Outros,Outros,Brooklyn,Private room,89,3,0,0.72,5,365
Outros,Outros,Brooklyn,Entire home/apt,85,2,25,4.78,1,28
Outros,Outros,Manhattan,Entire home/apt,230,1,29,0.49,1,0
Outros,Outros,Brooklyn,Private room,50,10,1,0.77,1,246
Outros,Outros,Brooklyn,Entire home/apt,175,10,1,0.03,1,189
Outros,Outros,Brooklyn,Private room,100,2,0,0.72,2,21
Outros,Outros,Queens,Private room,89,1,9,4.5,10,357
Outros,Outros,Brooklyn,Entire home/apt,265,3,23,1.95,1,365
Outros,Outros,Brooklyn,Entire home/apt,282,1,1,1.0,6,342
Outros,Outros,Queens,Private room,40,30,1,0.26,15,1
Outros,Outros,Manhattan,Private room,55,10,6,0.28,1,156
Outros,Outros,Manhattan,Entire home/apt,165,4,72,1.35,1,0
Outros,Outros,Brooklyn,Entire home/apt,119,5,25,1.49,2,77
Outros,Outros,Brooklyn,Private room,89,3,9,0.4,1,0
Outros,Outros,Manhattan,Private room,300,2,0,0.72,1,0
Outros,Outros,Manhattan,Private room,99,1,147,2.84,1,4
Outros,Outros,Brooklyn,Private room,80,1,0,0.72,1,0
Outros,Outros,Manhattan,Entire home/apt,305,3,175,3.89,1,132
Outros,Outros,Manhattan,Entire home/apt,239,30,1,0.03,121,365
Outros,Outros,Manhattan,Private room,49,3,1,0.04,2,0
Outros,Outros,Brooklyn,Entire home/apt,150,30,1,0.42,1,160
Outros,Outros,Brooklyn,Private room,165,1,0,0.72,1,0
Outros,Outros,Brooklyn,Entire home/apt,150,3,94,1.33,3,250
Outros,Outros,Brooklyn,Private room,60,6,3,0.16,1,0
Outros,Outros,Manhattan,Entire home/apt,137,29,0,0.72,327,347
Outros,Outros,Brooklyn,Private room,60,1,2,0.05,1,0
Outros,Outros,Brooklyn,Entire home/apt,75,1,2,0.09,1,0
Outros,Outros,Brooklyn,Private room,95,30,40,0.8,11,331
Outros,Outros,Manhattan,Entire home/apt,150,2,0,0.72,1,0
Outros,Outros,Queens,Entire home/apt,140,2,16,4.21,2,79
Outros,Outros,Manhattan,Private room,190,3,0,0.72,2,0
Outros,Outros,Queens,Private room,65,1,8,0.42,4,155
Outros,Outros,Queens,Private room,70,2,3,0.4,2,105
Outros,Outros,Queens,Private room,35,4,10,1.99,4,11
Outros,Outros,Manhattan,Entire home/apt,395,2,0,0.72,1,0
Outros,Outros,Brooklyn,Shared room,300,2,0,0.72,1,0
Outros,Outros,Manhattan,Private room,475,1,0,0.72,14,361
Outros,Outros,Brooklyn,Shared room,38,1,236,4.63,2,56
Outros,Outros,Manhattan,Entire home/apt,325,1,0,0.72,1,0
Outros,Outros,Brooklyn,Private room,41,1,12,0.42,3,0
Outros,Outros,Brooklyn,Entire home/apt,90,3,26,2.43,1,3
Outros,Outros,Brooklyn,Entire home/apt,360,1,4,0.18,3,201
Outros,Outros,Manhattan,Entire home/apt,189,2,39,0.86,1,37
Outros,Outros,Brooklyn,Entire home/apt,150,2,14,0.46,1,0
Outros,Outros,Brooklyn,Entire home/apt,195,1,39,1.25,1,62
Outros,Outros,Brooklyn,Entire home/apt,59,1,9,0.27,1,288
Outros,Outros,Brooklyn,Private room,56,12,0,0.72,2,0
Outros,Outros,Queens,Private room,75,3,20,0.95,1,48
Outros,Outros,Brooklyn,Entire home/apt,34,2,93,4.07,2,247
Outros,Outros,Manhattan,Private room,150,1,59,6.04,3,0
Outros,Outros,Manhattan,Entire home/apt,300,31,8,0.49,33,342
Outros,Outros,Staten Island,Private room,34,1,11,0.65,4,78
Outros,Outros,Brooklyn,Entire home/apt,95,7,22,0.49,1,20
Outros,Outros,Manhattan,Entire home/apt,200,4,7,0.52,1,166
Outros,Outros,Manhattan,Entire home/apt,200,9,0,0.72,1,15
Outros,Outros,Queens,Private room,35,1,0,0.72,1,0
Outros,Outros,Manhattan,Entire home/apt,120,1,3,0.08,1,0
Outros,Outros,Manhattan,Private room,100,4,1,0.04,1,0
Outros,Outros,Manhattan,Private room,150,5,1,0.43,1,97
Outros,Outros,Manhattan,Private room,120,1,16,1.29,3,9
Outros,Outros,Brooklyn,Entire home/apt,145,3,7,0.08,1,270
Outros,Outros,Queens,Entire home/apt,85,30,0,0.72,1,280
Outros,Outros,Manhattan,Private room,71,15,0,0.72,4,185
Outros,Outros,Brooklyn,Entire home/apt,100,3,0,0.72,1,0
Outros,Outros,Brooklyn,Private room,95,1,4,0.93,2,59
Outros,Outros,Manhattan,Private room,85,3,0,0.72,2,0
Outros,Outros,Manhattan,Entire home/apt,169,30,0,0.72,12,365
Outros,Outros,Manhattan,Entire home/apt,210,30,1,0.43,87,329
Outros,Outros,Manhattan,Entire home/apt,575,1,0,0.72,1,0
Outros,Outros,Manhattan,Entire home/apt,110,30,7,0.18,34,252
Outros,Outros,Brooklyn,Private room,250,1,0,0.72,1,0
Outros,Outros,Manhattan,Private room,38,3,1,0.03,1,0
Outros,Outros,Manhattan,Entire home/apt,200,2,6,0.16,1,0
Outros,Outros,Brooklyn,Private room,50,30,10,0.13,1,205
Outros,Outros,Manhattan,Entire home/apt,180,2,23,2.04,1,2
Outros,Outros,Queens,Private room,65,1,6,1.96,1,31
Outros,Outros,Manhattan,Entire home/apt,2500,3,14,1.38,2,150
Outros,Outros,Queens,Private room,75,1,91,8.56,2,0
Outros,Outros,Manhattan,Private room,70,1,0,0.72,1,0
Outros,Outros,Queens,Private room,55,1,0,0.72,1,13
Outros,Outros,Brooklyn,Private room,50,1,0,0.72,1,0
Outros,Outros,Brooklyn,Private room,120,5,3,0.09,1,242
Outros,Outros,Brooklyn,Private room,40,1,22,1.9,1,0
Outros,Outros,Brooklyn,Private room,100,7,0,0.72,1,0
Outros,Outros,Brooklyn,Private room,50,4,0,0.72,1,0
Outros,Outros,Queens,Entire home/apt,200,1,54,3.38,2,338
Outros,Outros,Manhattan,Private room,80,6,3,1.25,2,260
Outros,Outros,Brooklyn,Private room,29,2,1,0.08,1,0
Outros,Outros,Brooklyn,Entire home/apt,153,3,17,0.48,1,31
Outros,Outros,Brooklyn,Private room,68,3,16,1.4,1,139
Outros,Outros,Brooklyn,Private room,80,1,0,0.72,1,0
Outros,Outros,Manhattan,Private room,80,1,46,1.93,1,6
Outros,Outros,Manhattan,Entire home/apt,244,2,9,2.31,327,133
Outros,Outros,Queens,Private room,50,1,0,0.72,1,0
Outros,Outros,Brooklyn,Private room,60,1,6,0.79,2,0
Outros,Outros,Brooklyn,Private room,100,2,101,2.75,1,284
Outros,Outros,Brooklyn,Private room,110,2,0,0.72,1,0
Outros,Outros,Queens,Entire home/apt,99,4,50,1.85,2,60
Outros,Outros,Manhattan,Private room,50,13,51,2.63,1,26
Outros,Outros,Brooklyn,Private room,30,3,32,1.85,1,36
Outros,Outros,Manhattan,Entire home/apt,138,7,4,0.17,1,0
Outros,Outros,Manhattan,Entire home/apt,67,1,1,0.02,1,0
Outros,Outros,Manhattan,Entire home/apt,200,3,114,3.19,1,165
Outros,Outros,Brooklyn,Entire home/apt,150,1,13,1.54,1,0
Outros,Outros,Brooklyn,Entire home/apt,200,3,21,2.79,1,327
Outros,Outros,Manhattan,Private room,207,1,3,0.74,2,82
Outros,Outros,Brooklyn,Entire home/apt,100,30,29,0.74,1,326
Outros,Outros,Manhattan,Entire home/apt,999,2,54,1.49,1,58
Outros,Outros,Brooklyn,Private room,85,10,19,1.06,1,0
Outros,Outros,Brooklyn,Entire home/apt,99,1,0,0.72,1,297
Outros,Outros,Manhattan,Entire home/apt,175,1,1,0.02,1,0
Outros,Outros,Brooklyn,Entire home/apt,125,3,4,1.67,1,48
Outros,Outros,Brooklyn,Entire home/apt,350,5,0,0.72,1,22
Outros,Outros,Brooklyn,Private room,40,1,4,2.14,2,250
Outros,Outros,Brooklyn,Private room,46,1,63,2.32,3,0
Outros,Outros,Manhattan,Entire home/apt,699,29,0,0.72,327,220
Outros,Outros,Brooklyn,Private room,60,1,3,0.07,1,0
Outros,Outros,Brooklyn,Private room,60,2,1,0.06,1,0
Outros,Outros,Manhattan,Entire home/apt,145,2,64,0.91,1,132
Outros,Outros,Manhattan,Private room,84,1,2,0.08,1,2
Outros,Outros,Manhattan,Entire home/apt,339,3,28,1.93,12,0
Outros,Outros,Brooklyn,Private room,100,1,10,0.53,1,0
Outros,Outros,Brooklyn,Entire home/apt,150,2,21,0.82,1,11
Outros,Outros,Queens,Private room,75,2,0,0.72,2,90
Outros,Outros,Manhattan,Private room,90,2,17,0.24,3,177
Outros,Outros,Queens,Private room,47,30,0,0.72,103,246
Outros,Outros,Manhattan,Private room,140,2,54,0.56,1,221
Outros,Outros,Manhattan,Entire home/apt,250,2,18,0.38,2,0
Outros,Outros,Brooklyn,Private room,50,20,1,0.41,1,72
Outros,Outros,Brooklyn,Private room,48,4,6,0.32,1,6
Outros,Outros,Manhattan,Entire home/apt,135,2,4,0.53,1,22
Outros,Outros,Brooklyn,Private room,90,2,3,0.48,1,6
Outros,Outros,Manhattan,Entire home/apt,302,30,0,0.72,121,364
Outros,Outros,Brooklyn,Private room,71,1,0,0.72,1,0
Outros,Outros,Brooklyn,Private room,100,1,1,0.03,2,0
Outros,Outros,Brooklyn,Private room,49,25,61,1.96,1,0
Outros,Outros,Manhattan,Private room,120,2,0,0.72,1,0
Outros,Outros,Brooklyn,Private room,50,1,20,2.82,5,62
Outros,Outros,Brooklyn,Private room,80,1,215,4.68,1,232
Outros,Outros,Manhattan,Private room,175,2,2,0.22,1,1
Outros,Outros,Manhattan,Entire home/apt,100,4,0,0.72,1,0
Outros,Outros,Manhattan,Entire home/apt,50,2,16,4.25,1,51
Outros,Outros,Manhattan,Private room,115,2,246,4.94,1,69
Outros,Outros,Manhattan,Entire home/apt,220,2,48,1.21,1,135
Outros,Outros,Manhattan,Entire home/apt,299,2,0,0.72,1,157
Outros,Outros,Manhattan,Entire home/apt,190,30,0,0.72,10,180
Outros,Outros,Manhattan,Private room,66,4,1,0.02,1,0
Outros,Outros,Manhattan,Private room,89,3,7,0.15,1,10
Outros,Outros,Brooklyn,Private room,135,1,1,0.02,1,0
Outros,Outros,Manhattan,Entire home/apt,244,3,0,0.72,1,167
Outros,Outros,Brooklyn,Private room,60,1,2,1.67,1,0
Outros,Outros,Queens,Private room,180,1,0,0.72,2,0
Outros,Outros,Manhattan,Private room,49,5,14,1.37,6,12
Outros,Outros,Manhattan,Entire home/apt,500,1,0,0.72,1,365
Outros,Outros,Brooklyn,Entire home/apt,143,5,2,0.24,1,9
Outros,Outros,Brooklyn,Private room,65,1,2,1.15,1,124
Outros,Outros,Brooklyn,Private room,42,2,35,1.69,1,0
Outros,Outros,Brooklyn,Private room,95,3,19,1.61,1,85
Outros,Outros,Manhattan,Entire home/apt,714,28,0,0.72,49,257
Outros,Outros,Brooklyn,Private room,95,3,2,0.17,1,38
Outros,Outros,Manhattan,Entire home/apt,370,4,0,0.72,1,0
Outros,Outros,Manhattan,Private room,150,1,119,3.29,2,316
Outros,Outros,Manhattan,Entire home/apt,119,7,6,0.43,1,201
Outros,Outros,Queens,Private room,50,30,2,0.5,103,269
Outros,Outros,Bronx,Private room,30,3,11,0.45,3,0
Outros,Outros,Bronx,Private room,50,7,12,0.55,1,0
Outros,Outros,Brooklyn,Private room,80,3,130,1.85,1,0
Outros,Outros,Manhattan,Entire home/apt,140,3,12,0.33,1,0
Outros,Outros,Manhattan,Private room,94,1,23,5.9,3,55
Outros,Outros,Staten Island,Private room,30,7,1,1.0,2,188
Outros,Outros,Manhattan,Private room,123,3,176,3.39,3,253
Outros,Outros,Brooklyn,Entire home/apt,125,2,24,2.17,1,55
Outros,Outros,Bronx,Entire home/apt,80,2,0,0.72,1,321
Outros,Outros,Brooklyn,Entire home/apt,150,1,1,0.02,1,0
Outros,Outros,Manhattan,Entire home/apt,165,1,1,1.0,1,5
Outros,Outros,Manhattan,Entire home/apt,200,14,2,1.5,1,233
Outros,Outros,Brooklyn,Entire home/apt,85,1,84,1.46,1,286
Outros,Outros,Manhattan,Entire home/apt,200,3,74,0.59,1,129
Outros,Outros,Queens,Entire home/apt,90,2,8,0.43,1,0
Outros,Outros,Brooklyn,Entire home/apt,220,2,9,0.64,1,85
Outros,Outros,Brooklyn,Private room,80,5,81,1.96,2,308
Outros,Outros,Manhattan,Entire home/apt,134,1,2,0.27,1,0
Outros,Outros,Brooklyn,Private room,80,2,0,0.72,1,0
Outros,Outros,Manhattan,Entire home/apt,525,6,5,1.76,4,63
Outros,Outros,Brooklyn,Private room,250,1,0,0.72,1,0
Outros,Outros,Brooklyn,Private room,63,2,0,0.72,1,66
Outros,Outros,Brooklyn,Entire home/apt,300,3,0,0.72,1,335
Outros,Outros,Manhattan,Entire home/apt,250,2,1,0.03,1,0
Outros,Outros,Manhattan,Entire home/apt,165,2,13,0.35,1,0
Outros,Outros,Manhattan,Entire home/apt,180,30,0,0.72,65,364
Outros,Outros,Queens,Private room,60,3,6,0.84,1,43
Outros,Outros,Manhattan,Shared room,235,14,8,0.7,1,21
Outros,Outros,Manhattan,Entire home/apt,64,15,1,0.03,1,0
Outros,Outros,Brooklyn,Entire home/apt,142,4,41,0.58,1,151
Outros,Outros,Manhattan,Private room,175,2,3,0.08,1,0
Outros,Outros,Brooklyn,Entire home/apt,149,5,35,1.81,2,12
Outros,Outros,Manhattan,Shared room,350,2,13,0.17,1,0
Outros,Outros,Manhattan,Private room,69,2,100,3.09,9,345
Outros,Outros,Brooklyn,Entire home/apt,152,2,72,3.11,1,146
Outros,Outros,Manhattan,Entire home/apt,180,30,0,0.72,96,342
Outros,Outros,Brooklyn,Private room,50,1,1,0.03,1,0
Outros,Outros,Manhattan,Entire home/apt,200,2,0,0.72,1,0
Outros,Outros,Queens,Entire home/apt,125,2,49,2.08,1,347
Outros,Outros,Brooklyn,Entire home/apt,226,2,57,2.32,1,127
Outros,Outros,Manhattan,Private room,100,2,11,1.18,2,90
Outros,Outros,Brooklyn,Entire home/apt,100,2,4,4.0,1,96
Outros,Outros,Brooklyn,Entire home/apt,200,4,13,0.22,1,0
Outros,Outros,Brooklyn,Entire home/apt,600,3,4,4.0,1,323
Outros,Outros,Queens,Private room,45,1,9,0.48,1,328
Outros,Outros,Manhattan,Entire home/apt,180,2,15,1.29,1,18
Outros,Outros,Manhattan,Entire home/apt,159,2,1,0.05,1,0
Outros,Outros,Brooklyn,Private room,75,2,25,0.43,3,365
Outros,Outros,Manhattan,Private room,325,3,9,0.23,1,88
Outros,Outros,Brooklyn,Entire home/apt,115,5,4,0.08,1,0
Outros,Outros,Manhattan,Entire home/apt,400,1,0,0.72,1,0
Outros,Outros,Brooklyn,Private room,31,7,2,0.06,1,89
Outros,Outros,Manhattan,Entire home/apt,150,4,0,0.72,1,0
Outros,Outros,Brooklyn,Private room,60,5,0,0.72,1,0
Outros,Outros,Manhattan,Private room,80,1,0,0.72,1,0
Outros,Outros,Brooklyn,Entire home/apt,800,3,1,0.05,1,0
Outros,Outros,Manhattan,Entire home/apt,175,184,0,0.72,2,0
Outros,Outros,Brooklyn,Private room,45,5,0,0.72,2,0
Outros,Outros,Brooklyn,Entire home/apt,125,2,11,0.53,2,0
Outros,Outros,Brooklyn,Private room,42,2,4,0.28,1,0
Outros,Outros,Brooklyn,Private room,55,2,58,2.25,3,0
Outros,Outros,Manhattan,Entire home/apt,350,6,97,2.55,2,236
Outros,Outros,Manhattan,Entire home/apt,490,14,1,0.04,1,180
Outros,Outros,Brooklyn,Entire home/apt,130,1,94,1.92,1,0
Outros,Outros,Brooklyn,Private room,45,31,3,0.06,1,0
Outros,Outros,Queens,Private room,50,2,20,4.69,1,167
Outros,Outros,Manhattan,Private room,110,2,68,1.39,5,44
Outros,Outros,Brooklyn,Entire home/apt,689,2,18,1.61,1,340
Outros,Outros,Brooklyn,Private room,48,1,14,6.36,2,249
Outros,Outros,Manhattan,Private room,100,1,28,1.66,3,270
Outros,Outros,Manhattan,Entire home/apt,200,2,6,0.95,1,7
Outros,Outros,Manhattan,Entire home/apt,450,2,2,0.14,1,0
Outros,Outros,Manhattan,Private room,115,4,151,1.63,2,323
Outros,Outros,Manhattan,Private room,70,1,36,1.65,2,169
Outros,Outros,Brooklyn,Entire home/apt,275,4,1,0.02,1,146
Outros,Outros,Manhattan,Entire home/apt,200,1,4,0.09,1,0
Outros,Outros,Brooklyn,Private room,175,2,5,0.13,2,334
Outros,Outros,Brooklyn,Private room,75,3,0,0.72,1,23
Outros,Outros,Brooklyn,Entire home/apt,170,2,94,2.99,1,78
Outros,Outros,Brooklyn,Private room,65,3,47,1.28,1,300
Outros,Outros,Manhattan,Private room,87,1,2,0.13,1,0
Outros,Outros,Brooklyn,Private room,65,30,10,1.18,4,328
Outros,Outros,Manhattan,Private room,66,1,5,4.69,1,130
Outros,Outros,Manhattan,Private room,80,2,94,3.25,1,167
Outros,Outros,Manhattan,Entire home/apt,250,2,26,0.58,1,0
Outros,Outros,Queens,Entire home/apt,179,2,34,2.37,1,205
Outros,Outros,Manhattan,Entire home/apt,210,1,108,6.4,3,216
Outros,Outros,Queens,Private room,70,2,0,0.72,2,310
Outros,Outros,Manhattan,Entire home/apt,90,5,16,0.25,1,3
Outros,Outros,Staten Island,Private room,55,1,10,7.14,1,363
Outros,Outros,Brooklyn,Entire home/apt,375,3,6,0.1,1,252
Outros,Outros,Manhattan,Entire home/apt,220,360,1,0.02,1,0
Outros,Outros,Queens,Entire home/apt,250,1,0,0.72,3,22
Outros,Outros,Queens,Private room,70,1,1,1.0,3,76
Outros,Outros,Brooklyn,Private room,69,5,5,0.22,1,166
Outros,Outros,Manhattan,Entire home/apt,150,4,0,0.72,2,35
Outros,Outros,Manhattan,Entire home/apt,115,30,6,0.17,31,331
Outros,Outros,Manhattan,Entire home/apt,241,30,0,0.72,1,249
Outros,Outros,Brooklyn,Private room,45,2,4,0.34,1,34
Outros,Outros,Manhattan,Private room,1100,1,1,0.09,1,0
Outros,Outros,Brooklyn,Entire home/apt,75,5,25,0.78,1,6
Outros,Outros,Manhattan,Private room,60,30,2,0.19,1,183
Outros,Outros,Manhattan,Entire home/apt,900,1,2,0.18,1,0
Outros,Outros,Brooklyn,Private room,65,2,0,0.72,1,0
Outros,Outros,Brooklyn,Private room,55,1,107,2.22,2,46
Outros,Outros,Manhattan,Entire home/apt,180,4,13,1.81,1,55
Outros,Outros,Manhattan,Entire home/apt,225,3,0,0.72,2,235
Outros,Outros,Queens,Entire home/apt,175,4,12,0.47,1,42
Outros,Outros,Queens,Entire home/apt,139,4,6,0.58,2,282
Outros,Outros,Brooklyn,Entire home/apt,147,2,47,1.34,1,0
Outros,Outros,Brooklyn,Shared room,0,30,5,0.26,6,139
Outros,Outros,Brooklyn,Entire home/apt,225,2,24,0.49,1,189
Outros,Outros,Manhattan,Private room,100,1,1,0.03,1,0
Outros,Outros,Manhattan,Entire home/apt,110,1,0,0.72,1,180
Outros,Outros,Manhattan,Entire home/apt,600,2,0,0.72,1,267
Outros,Outros,Queens,Private room,100,2,16,2.55,1,134
Outros,Outros,Manhattan,Entire home/apt,120,14,1,0.03,1,188
Outros,Outros,Manhattan,Entire home/apt,90,80,20,0.29,1,203
Outros,Outros,Brooklyn,Entire home/apt,50,6,1,0.04,1,0
Outros,Outros,Queens,Private room,85,1,2,2.0,1,42
Outros,Outros,Brooklyn,Entire home/apt,125,3,93,1.82,1,30
Outros,Outros,Brooklyn,Private room,98,4,0,0.72,3,0
Outros,Outros,Manhattan,Private room,65,1,40,2.88,1,45
Outros,Outros,Manhattan,Private room,100,2,0,0.72,1,0
Outros,Outros,Manhattan,Private room,100,3,19,4.01,1,48
Outros,Outros,Brooklyn,Private room,110,1,0,0.72,1,0
Outros,Outros,Manhattan,Entire home/apt,120,4,4,0.07,1,0
Outros,Outros,Brooklyn,Entire home/apt,80,30,6,0.22,8,156
Outros,Outros,Manhattan,Shared room,65,1,2,2.0,2,64
Outros,Outros,Queens,Shared room,37,1,34,0.76,4,362
Outros,Outros,Manhattan,Entire home/apt,275,2,70,1.84,4,307
Outros,Outros,Queens,Entire home/apt,160,2,1,0.43,1,310
Outros,Outros,Brooklyn,Private room,90,10,0,0.72,1,0
Outros,Outros,Brooklyn,Private room,30,1,3,0.62,1,0
Outros,Outros,Manhattan,Shared room,75,1,4,2.35,6,365
Outros,Outros,Brooklyn,Entire home/apt,186,4,2,1.36,2,22
Outros,Outros,Queens,Private room,64,3,1,1.0,7,195
Outros,Outros,Brooklyn,Entire home/apt,175,4,6,0.16,1,157
Outros,Outros,Brooklyn,Entire home/apt,199,2,1,0.03,1,0
Outros,Outros,Queens,Private room,60,5,11,1.44,2,17
Outros,Outros,Manhattan,Entire home/apt,220,5,0,0.72,1,0
Outros,Outros,Brooklyn,Shared room,37,30,0,0.72,3,84
Outros,Outros,Manhattan,Private room,92,3,104,5.67,2,25
